instruction,input,output,domain,difficulty,score,ai_probability
"Score this interview answer and detect if it is AI-generated","Question: Explain the difference between a list and a tuple in Python.\nAnswer: A list is mutable while a tuple is immutable. Lists use square brackets, tuples use parentheses. Tuples are hashable so they can be used as dictionary keys.","{'score':8,'feedback':'Good concise answer. Mentioned mutability, syntax, and hashability.','strengths':['Mutability correctly stated','Mentioned hashability'],'weaknesses':['Could mention performance'],'ai_probability':0.1}",python,easy,8,0.1
"Score this interview answer and detect if it is AI-generated","Question: Explain the difference between a list and a tuple in Python.\nAnswer: In Python, there are a multitude of distinctions between lists and tuples. Firstly, lists are mutable data structures that allow for dynamic modification of their elements, whereas tuples are immutable sequences that cannot be altered after their creation. Furthermore, lists utilize square bracket notation while tuples employ parenthetical notation. Moreover, tuples, owing to their immutable nature, are hashable and can therefore serve as dictionary keys or elements within sets. In conclusion, the selection between these two fundamental data structures should be predicated upon the specific requirements of one's implementation.","{'score':6,'feedback':'Technically correct but overly formal — likely AI-generated. Lacks personal examples.','strengths':['All key points covered'],'weaknesses':['Extremely formal language','No personal examples','Reads as AI-generated'],'ai_probability':0.88}",python,easy,6,0.88
"Score this interview answer and detect if it is AI-generated","Question: What are Python decorators?\nAnswer: Decorators wrap a function with extra logic. I use them a lot for logging and auth checks. The @ syntax is just syntactic sugar for passing the function as an argument to another function.","{'score':8,'feedback':'Natural, practical answer. Good understanding shown.','strengths':['Practical usage mentioned','Correct explanation of @ syntax'],'weaknesses':['Could mention functools.wraps for preserving metadata'],'ai_probability':0.12}",python,medium,8,0.12
"Score this interview answer and detect if it is AI-generated","Question: What are Python decorators?\nAnswer: I dont really know decorators much, I think they're like some special functions with @ symbol","{'score':2,'feedback':'Very superficial answer. Shows minimal understanding.','strengths':['Knows the @ symbol'],'weaknesses':['No understanding of wrapping','No practical examples','Incorrect grammar suggests low confidence'],'ai_probability':0.05}",python,medium,2,0.05
"Score this interview answer and detect if it is AI-generated","Question: Explain Python's GIL.\nAnswer: The GIL or Global Interpreter Lock is a mutex that prevents multiple native threads from executing Python bytecodes simultaneously. It exists because CPython's memory management is not thread-safe. For CPU-bound tasks use multiprocessing. For I/O-bound tasks it's fine since the GIL is released during I/O.","{'score':10,'feedback':'Expert-level answer. Covers why GIL exists, when it matters, and practical workarounds.','strengths':['CPython memory management reason','CPU vs I/O distinction','Practical workarounds'],'weaknesses':[],'ai_probability':0.45}",python,hard,10,0.45
"Score this interview answer and detect if it is AI-generated","Question: What is dynamic programming?\nAnswer: DP is basically solving problems by remembering results you already computed so you dont recalculate them. Like fibonacci - if you memoize results you go from O(2^n) to O(n). Tabulation is the bottom-up version.","{'score':9,'feedback':'Excellent practical explanation with time complexity comparison.','strengths':['Memoization vs tabulation','Concrete fibonacci example','Time complexity comparison'],'weaknesses':[],'ai_probability':0.08}",dsa,hard,9,0.08
"Score this interview answer and detect if it is AI-generated","Question: What is dynamic programming?\nAnswer: Dynamic programming is an algorithmic technique that solves complex problems by breaking them down into simpler overlapping subproblems. It is based on the principle of optimal substructure. There are two primary approaches: top-down with memoization and bottom-up tabulation. In conclusion, dynamic programming offers significant improvements in time complexity for problems exhibiting optimal substructure and overlapping subproblems.","{'score':6,'feedback':'Technically accurate but generic and highly formal — likely AI. No personal examples.','strengths':['Correct definition','Mentions both approaches'],'weaknesses':['No concrete example','Overly formal','AI detected via formal markers'],'ai_probability':0.82}",dsa,hard,6,0.82
"Score this interview answer and detect if it is AI-generated","Question: Explain BFS vs DFS.\nAnswer: BFS uses a queue and explores layer by layer - great for shortest path. DFS uses a stack (or recursion) and goes deep first - useful for topological sort and detecting cycles. I've used BFS for finding shortest paths in graphs and DFS for tree traversals.","{'score':9,'feedback':'Excellent practical answer with real applications.','strengths':['Queue vs stack distinction','Correct use cases','Personal usage mentioned'],'weaknesses':[],'ai_probability':0.09}",dsa,medium,9,0.09
"Score this interview answer and detect if it is AI-generated","Question: How would you design a URL shortener?\nAnswer: I'd use a hash function to generate a 6-7 char code for the URL, store original-to-short mapping in a key-value store like Redis for fast reads, and have a fallback in SQL. The redirect service just looks up the short code and 301 redirects. For scale, CDN handles most redirects.","{'score':9,'feedback':'Solid practical design with caching and scalability considerations.','strengths':['Redis for fast lookups','CDN mention','301 redirect correctness'],'weaknesses':['Didnt mention analytics','No collision handling discussed'],'ai_probability':0.15}",system_design,medium,9,0.15
"Score this interview answer and detect if it is AI-generated","Question: How would you design a URL shortener?\nAnswer: To design a URL shortener, you would need to consider several key components. Firstly, the URL encoding mechanism should employ a base62 encoding algorithm to generate unique identifiers. Furthermore, a distributed database system should be employed to ensure high availability. Additionally, a caching layer utilizing Redis or Memcached would be beneficial. In conclusion, the system should be designed with scalability, availability, and fault tolerance as primary concerns.","{'score':5,'feedback':'Generic answer with no depth. Highly formal language, likely AI-generated.','strengths':['Mentions caching','Base62 encoding'],'weaknesses':['No concrete architecture','Extremely formal','No trade-off discussion','Likely AI-generated'],'ai_probability':0.91}",system_design,medium,5,0.91
